bin,comp,cont
0,0.9133,0.1683
1,0.8685,0.0000
2,0.7680,0.0000
3,0.6851,0.0000
4,0.7482,0.0000
5,0.7226,0.2843
6,0.7315,0.0929
7,0.6616,0.2806
8,0.6496,0.1707
9,0.9808,0.0000
10,0.9693,0.0000
11,0.6264,0.0000
12,0.7092,0.0202
13,0.6672,0.2281
14,0.9641,0.1706
15,0.8148,0.0000
16,0.9123,0.0000
17,0.9318,0.1284
18,0.9286,0.0000
19,0.6360,0.2993
20,0.7818,0.2582
21,0.8405,0.2918
22,0.7402,0.1168
23,0.8926,0.0000
24,0.7009,0.0000
25,0.6171,0.0000
26,0.9214,0.0000
27,0.7580,0.0237
28,0.9106,0.0000
29,0.6287,0.0000
30,0.9802,0.1784
31,0.9504,0.2883
32,0.6497,0.0417
33,0.9718,0.0000
34,0.8316,0.1514
35,0.8055,0.0000
36,0.7197,0.2055
37,0.7216,0.0460
38,0.8959,0.0000
39,0.7679,0.0000
40,0.8240,0.0000
41,0.7768,0.1288
42,0.9089,0.0000
43,0.6342,0.0000
44,0.9404,0.2069
45,0.9471,0.1940
46,0.9355,0.0952
47,0.6790,0.2285
48,0.7253,0.2314
49,0.6401,0.0000
50,0.7673,0.1177
51,0.7940,0.0000
52,0.8840,0.0000
53,0.8390,0.0000
54,0.8183,0.2037
55,0.7984,0.2023
56,0.7945,0.0000
57,0.9244,0.0000
58,0.7540,0.0000
59,0.7759,0.0000
60,0.9685,0.0000
61,0.6185,0.0000
62,0.9080,0.1530
63,0.7540,0.2940
64,0.6605,0.2500
65,0.8749,0.0444
66,0.6046,0.2247
67,0.7677,0.1383
68,0.7018,0.2349
69,0.9001,0.2944
70,0.9717,0.2807
71,0.7389,0.0525
72,0.8528,0.0000
73,0.9215,0.0000
74,0.7699,0.0421
75,0.8108,0.0000
76,0.9053,0.0032
77,0.8091,0.0000
78,0.6413,0.2113
79,0.7827,0.0000
80,0.9756,0.2445
81,0.7762,0.0906
82,0.8151,0.0000
83,0.9555,0.0000
84,0.8644,0.2817
85,0.9571,0.2020
86,0.6177,0.1752
87,0.8603,0.0000
88,0.8957,0.1880
89,0.6894,0.0000
90,0.8806,0.0893
91,0.9732,0.1132
92,0.7608,0.1503
93,0.7274,0.0000
94,0.6348,0.0171
95,0.8405,0.0000
96,0.7285,0.0000
97,0.6237,0.0000
98,0.8169,0.0076
99,0.6912,0.0000
100,0.6260,0.0000
101,0.6651,0.0000
102,0.7161,0.0000
103,0.6948,0.1299
104,0.8026,0.2339
105,0.6821,0.0000
106,0.8942,0.0000
107,0.9449,0.0000
108,0.9414,0.0285
109,0.9666,0.0000
110,0.9333,0.0000
111,0.7487,0.0000
112,0.8571,0.2600
113,0.7170,0.1001
114,0.6842,0.1436
115,0.7316,0.0000
116,0.6197,0.0907
117,0.8066,0.0000
118,0.6976,0.0000
119,0.8862,0.0000
120,0.6404,0.0000
121,0.6872,0.0000
122,0.7891,0.0000
123,0.8762,0.0000
124,0.6762,0.0000
125,0.9114,0.0000
126,0.8726,0.0000
127,0.6946,0.0200
128,0.8675,0.0000
129,0.9507,0.0977
130,0.7604,0.1436
131,0.9391,0.0000
132,0.7560,0.0000
133,0.6205,0.0000
134,0.6776,0.0440
135,0.8322,0.0000
136,0.7070,0.1788
137,0.6701,0.0000
138,0.6220,0.0304
139,0.8795,0.2445
140,0.7383,0.0000
141,0.9703,0.0918
142,0.7373,0.0000
143,0.8106,0.0000
144,0.9666,0.0000
145,0.6842,0.0000
146,0.8858,0.1620
147,0.8609,0.0000
148,0.8081,0.1324
149,0.7602,0.0000
150,0.7386,0.0000
151,0.7743,0.0000
152,0.9389,0.2951
153,0.8738,0.0000
154,0.9524,0.1258
155,0.9255,0.0000
156,0.9095,0.0000
157,0.8499,0.0000
158,0.8409,0.0823
159,0.9178,0.0000
160,0.7488,0.0000
161,0.8269,0.0358
162,0.9228,0.0000
163,0.8289,0.0000
164,0.8579,0.0000
165,0.9351,0.1772
166,0.6032,0.0233
167,0.9406,0.0197
168,0.6256,0.2934
169,0.6756,0.0393
170,0.9260,0.0000
171,0.9846,0.1398
172,0.6934,0.0758
173,0.9592,0.1177
174,0.8621,0.0000
175,0.7148,0.2946
176,0.8350,0.0000
177,0.9229,0.0000
178,0.6852,0.1959
179,0.6746,0.0000
180,0.9701,0.0000
181,0.7973,0.0000
182,0.8933,0.0000
183,0.7050,0.0000
184,0.7996,0.0000
185,0.8497,0.1156
186,0.9461,0.1331
187,0.7268,0.0000
188,0.9893,0.0000
189,0.9537,0.2006
190,0.6930,0.0201
191,0.9491,0.2608
192,0.6905,0.0000
193,0.6701,0.0000
194,0.6043,0.0000
195,0.6115,0.0000
196,0.7027,0.2956
197,0.6262,0.0000
198,0.9711,0.0000
199,0.9749,0.1423
